Rank,Tedarikçi Adı,İlgili Kişi,E-posta,Telefon,Website,Adres,Ürün Türü,Ürün Adı,Fiyat USD/kg (EXW),Fiyat USD/kg (FOB Mersin),MOQ (kg),Teknik Özellikler,Belgeler,Teslim Süresi (gün),Ödeme Koşulları,Aylık Kapasite,Dubai Deneyimi,İhracat Yılı,Teknik Destek,Dubai Saha Desteği,Diller,Laboratuvar,Notlar
22,Concrete Tech Turkey,Ayşe Kaya - Sales Manager,export@concretetechtr.com.tr,+90 216 456 1184,www.concretetechtr.com.tr,"Adana, Turkey",Pce Superplasticizers,Concrete PCE,4.0,3.75,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",28,"30% advance, 70% against B/L copy",214 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 214 tons monthly capacity"
22,Concrete Tech Turkey,Ayşe Kaya - Sales Manager,export@concretetechtr.com.tr,+90 216 456 1184,www.concretetechtr.com.tr,"Adana, Turkey",Accelerators,Concrete Accelerator,3.42,3.17,300,"Fast setting, strength development","ISO 9001, TSE",28,"30% advance, 70% against B/L copy",214 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 214 tons monthly capacity"
22,Concrete Tech Turkey,Ayşe Kaya - Sales Manager,export@concretetechtr.com.tr,+90 216 456 1184,www.concretetechtr.com.tr,"Adana, Turkey",Retarders,Concrete Retarder,2.74,2.49,300,Extended workability control,"ISO 9001, TSE",28,"30% advance, 70% against B/L copy",214 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 214 tons monthly capacity"
23,Prime Additives,Fatma Şahin - Sales Manager,export@primeadditives.com.tr,+90 226 463 1207,www.primeadditives.com.tr,"Gaziantep, Turkey",Pce Superplasticizers,Prime PCE,4.05,3.8,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",29,"30% advance, 70% against B/L copy",222 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 222 tons monthly capacity"
23,Prime Additives,Fatma Şahin - Sales Manager,export@primeadditives.com.tr,+90 226 463 1207,www.primeadditives.com.tr,"Gaziantep, Turkey",Accelerators,Prime Accelerator,3.46,3.21,300,"Fast setting, strength development","ISO 9001, TSE",29,"30% advance, 70% against B/L copy",222 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 222 tons monthly capacity"
23,Prime Additives,Fatma Şahin - Sales Manager,export@primeadditives.com.tr,+90 226 463 1207,www.primeadditives.com.tr,"Gaziantep, Turkey",Retarders,Prime Retarder,2.77,2.52,300,Extended workability control,"ISO 9001, TSE",29,"30% advance, 70% against B/L copy",222 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 222 tons monthly capacity"
24,Superior Concrete Chem,Mehmet Özkan - Sales Manager,export@superiorconcret.com.tr,+90 236 470 1230,www.superiorconcretechem.com.tr,"Istanbul, Turkey",Pce Superplasticizers,Superior PCE,4.1,3.8499999999999996,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",30,"30% advance, 70% against B/L copy",230 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 230 tons monthly capacity"
24,Superior Concrete Chem,Mehmet Özkan - Sales Manager,export@superiorconcret.com.tr,+90 236 470 1230,www.superiorconcretechem.com.tr,"Istanbul, Turkey",Accelerators,Superior Accelerator,3.5,3.25,300,"Fast setting, strength development","ISO 9001, TSE",30,"30% advance, 70% against B/L copy",230 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 230 tons monthly capacity"
24,Superior Concrete Chem,Mehmet Özkan - Sales Manager,export@superiorconcret.com.tr,+90 236 470 1230,www.superiorconcretechem.com.tr,"Istanbul, Turkey",Retarders,Superior Retarder,2.8,2.55,300,Extended workability control,"ISO 9001, TSE",30,"30% advance, 70% against B/L copy",230 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 230 tons monthly capacity"
25,Modern Mix Technology,Ahmet Yılmaz - Sales Manager,export@modernmixtechno.com.tr,+90 246 477 1253,www.modernmixtechnology.com.tr,"Ankara, Turkey",Pce Superplasticizers,Modern PCE,4.15,3.9000000000000004,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",31,"30% advance, 70% against B/L copy",238 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 238 tons monthly capacity"
25,Modern Mix Technology,Ahmet Yılmaz - Sales Manager,export@modernmixtechno.com.tr,+90 246 477 1253,www.modernmixtechnology.com.tr,"Ankara, Turkey",Accelerators,Modern Accelerator,3.54,3.29,300,"Fast setting, strength development","ISO 9001, TSE",31,"30% advance, 70% against B/L copy",238 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 238 tons monthly capacity"
25,Modern Mix Technology,Ahmet Yılmaz - Sales Manager,export@modernmixtechno.com.tr,+90 246 477 1253,www.modernmixtechnology.com.tr,"Ankara, Turkey",Retarders,Modern Retarder,2.83,2.58,300,Extended workability control,"ISO 9001, TSE",31,"30% advance, 70% against B/L copy",238 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 238 tons monthly capacity"
26,Concrete Innovations,Ali Demir - Sales Manager,export@concreteinnovat.com.tr,+90 256 484 1276,www.concreteinnovations.com.tr,"Izmir, Turkey",Pce Superplasticizers,Concrete PCE,4.2,3.95,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",32,"30% advance, 70% against B/L copy",246 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 246 tons monthly capacity"
26,Concrete Innovations,Ali Demir - Sales Manager,export@concreteinnovat.com.tr,+90 256 484 1276,www.concreteinnovations.com.tr,"Izmir, Turkey",Accelerators,Concrete Accelerator,3.58,3.33,300,"Fast setting, strength development","ISO 9001, TSE",32,"30% advance, 70% against B/L copy",246 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 246 tons monthly capacity"
26,Concrete Innovations,Ali Demir - Sales Manager,export@concreteinnovat.com.tr,+90 256 484 1276,www.concreteinnovations.com.tr,"Izmir, Turkey",Retarders,Concrete Retarder,2.86,2.61,300,Extended workability control,"ISO 9001, TSE",32,"30% advance, 70% against B/L copy",246 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 246 tons monthly capacity"
27,Smart Additives Turkey,Veli Kaya - Sales Manager,export@smartadditivest.com.tr,+90 266 491 1299,www.smartadditivestr.com.tr,"Bursa, Turkey",Pce Superplasticizers,Smart PCE,4.25,4.0,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",33,"30% advance, 70% against B/L copy",254 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 254 tons monthly capacity"
27,Smart Additives Turkey,Veli Kaya - Sales Manager,export@smartadditivest.com.tr,+90 266 491 1299,www.smartadditivestr.com.tr,"Bursa, Turkey",Accelerators,Smart Accelerator,3.62,3.37,300,"Fast setting, strength development","ISO 9001, TSE",33,"30% advance, 70% against B/L copy",254 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 254 tons monthly capacity"
27,Smart Additives Turkey,Veli Kaya - Sales Manager,export@smartadditivest.com.tr,+90 266 491 1299,www.smartadditivestr.com.tr,"Bursa, Turkey",Retarders,Smart Retarder,2.89,2.64,300,Extended workability control,"ISO 9001, TSE",33,"30% advance, 70% against B/L copy",254 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 254 tons monthly capacity"
28,Professional Concrete,Ayşe Şahin - Sales Manager,export@professionalcon.com.tr,+90 276 498 1322,www.professionalconcrete.com.tr,"Kocaeli, Turkey",Pce Superplasticizers,Professional PCE,4.3,4.05,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",34,"30% advance, 70% against B/L copy",262 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 262 tons monthly capacity"
28,Professional Concrete,Ayşe Şahin - Sales Manager,export@professionalcon.com.tr,+90 276 498 1322,www.professionalconcrete.com.tr,"Kocaeli, Turkey",Accelerators,Professional Accelerator,3.66,3.41,300,"Fast setting, strength development","ISO 9001, TSE",34,"30% advance, 70% against B/L copy",262 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 262 tons monthly capacity"
28,Professional Concrete,Ayşe Şahin - Sales Manager,export@professionalcon.com.tr,+90 276 498 1322,www.professionalconcrete.com.tr,"Kocaeli, Turkey",Retarders,Professional Retarder,2.92,2.67,300,Extended workability control,"ISO 9001, TSE",34,"30% advance, 70% against B/L copy",262 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 262 tons monthly capacity"
29,Excellence Chemicals,Fatma Özkan - Sales Manager,export@excellencechemi.com.tr,+90 286 505 1345,www.excellencechemicals.com.tr,"Sakarya, Turkey",Pce Superplasticizers,Excellence PCE,4.35,4.1,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",20,"30% advance, 70% against B/L copy",270 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 270 tons monthly capacity"
29,Excellence Chemicals,Fatma Özkan - Sales Manager,export@excellencechemi.com.tr,+90 286 505 1345,www.excellencechemicals.com.tr,"Sakarya, Turkey",Accelerators,Excellence Accelerator,3.7,3.45,300,"Fast setting, strength development","ISO 9001, TSE",20,"30% advance, 70% against B/L copy",270 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 270 tons monthly capacity"
29,Excellence Chemicals,Fatma Özkan - Sales Manager,export@excellencechemi.com.tr,+90 286 505 1345,www.excellencechemicals.com.tr,"Sakarya, Turkey",Retarders,Excellence Retarder,2.95,2.7,300,Extended workability control,"ISO 9001, TSE",20,"30% advance, 70% against B/L copy",270 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 270 tons monthly capacity"
30,Concrete Solutions Pro,Mehmet Yılmaz - Sales Manager,export@concretesolutio.com.tr,+90 216 512 1368,www.concretesolutionspro.com.tr,"Eskişehir, Turkey",Pce Superplasticizers,Concrete PCE,4.4,4.15,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",21,"30% advance, 70% against B/L copy",278 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 278 tons monthly capacity"
30,Concrete Solutions Pro,Mehmet Yılmaz - Sales Manager,export@concretesolutio.com.tr,+90 216 512 1368,www.concretesolutionspro.com.tr,"Eskişehir, Turkey",Accelerators,Concrete Accelerator,3.74,3.49,300,"Fast setting, strength development","ISO 9001, TSE",21,"30% advance, 70% against B/L copy",278 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 278 tons monthly capacity"
30,Concrete Solutions Pro,Mehmet Yılmaz - Sales Manager,export@concretesolutio.com.tr,+90 216 512 1368,www.concretesolutionspro.com.tr,"Eskişehir, Turkey",Retarders,Concrete Retarder,2.98,2.73,300,Extended workability control,"ISO 9001, TSE",21,"30% advance, 70% against B/L copy",278 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 278 tons monthly capacity"
31,Advanced Building Chem,Ahmet Demir - Sales Manager,export@advancedbuildin.com.tr,+90 226 519 1391,www.advancedbuildingchem.com.tr,"Konya, Turkey",Pce Superplasticizers,Advanced PCE,4.45,4.2,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",22,"30% advance, 70% against B/L copy",286 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 286 tons monthly capacity"
31,Advanced Building Chem,Ahmet Demir - Sales Manager,export@advancedbuildin.com.tr,+90 226 519 1391,www.advancedbuildingchem.com.tr,"Konya, Turkey",Accelerators,Advanced Accelerator,3.7800000000000002,3.5300000000000002,300,"Fast setting, strength development","ISO 9001, TSE",22,"30% advance, 70% against B/L copy",286 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 286 tons monthly capacity"
31,Advanced Building Chem,Ahmet Demir - Sales Manager,export@advancedbuildin.com.tr,+90 226 519 1391,www.advancedbuildingchem.com.tr,"Konya, Turkey",Retarders,Advanced Retarder,3.01,2.76,300,Extended workability control,"ISO 9001, TSE",22,"30% advance, 70% against B/L copy",286 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 286 tons monthly capacity"
32,Premium Concrete Add,Ali Kaya - Sales Manager,export@premiumconcrete.com.tr,+90 236 526 1414,www.premiumconcreteadd.com.tr,"Adana, Turkey",Pce Superplasticizers,Premium PCE,4.5,4.25,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",23,"30% advance, 70% against B/L copy",294 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 294 tons monthly capacity"
32,Premium Concrete Add,Ali Kaya - Sales Manager,export@premiumconcrete.com.tr,+90 236 526 1414,www.premiumconcreteadd.com.tr,"Adana, Turkey",Accelerators,Premium Accelerator,3.8200000000000003,3.5700000000000003,300,"Fast setting, strength development","ISO 9001, TSE",23,"30% advance, 70% against B/L copy",294 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 294 tons monthly capacity"
32,Premium Concrete Add,Ali Kaya - Sales Manager,export@premiumconcrete.com.tr,+90 236 526 1414,www.premiumconcreteadd.com.tr,"Adana, Turkey",Retarders,Premium Retarder,3.04,2.79,300,Extended workability control,"ISO 9001, TSE",23,"30% advance, 70% against B/L copy",294 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 294 tons monthly capacity"
33,Master Mix Turkey,Veli Şahin - Sales Manager,export@mastermixtr.com.tr,+90 246 533 1437,www.mastermixtr.com.tr,"Gaziantep, Turkey",Pce Superplasticizers,Master PCE,4.55,4.3,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",24,"30% advance, 70% against B/L copy",302 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 302 tons monthly capacity"
33,Master Mix Turkey,Veli Şahin - Sales Manager,export@mastermixtr.com.tr,+90 246 533 1437,www.mastermixtr.com.tr,"Gaziantep, Turkey",Accelerators,Master Accelerator,3.8600000000000003,3.6100000000000003,300,"Fast setting, strength development","ISO 9001, TSE",24,"30% advance, 70% against B/L copy",302 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 302 tons monthly capacity"
33,Master Mix Turkey,Veli Şahin - Sales Manager,export@mastermixtr.com.tr,+90 246 533 1437,www.mastermixtr.com.tr,"Gaziantep, Turkey",Retarders,Master Retarder,3.07,2.82,300,Extended workability control,"ISO 9001, TSE",24,"30% advance, 70% against B/L copy",302 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 302 tons monthly capacity"
34,Concrete Specialists,Ayşe Özkan - Sales Manager,export@concretespecial.com.tr,+90 256 540 1460,www.concretespecialists.com.tr,"Istanbul, Turkey",Pce Superplasticizers,Concrete PCE,3.6,3.35,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",25,"30% advance, 70% against B/L copy",310 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 310 tons monthly capacity"
34,Concrete Specialists,Ayşe Özkan - Sales Manager,export@concretespecial.com.tr,+90 256 540 1460,www.concretespecialists.com.tr,"Istanbul, Turkey",Accelerators,Concrete Accelerator,3.1,2.85,300,"Fast setting, strength development","ISO 9001, TSE",25,"30% advance, 70% against B/L copy",310 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 310 tons monthly capacity"
34,Concrete Specialists,Ayşe Özkan - Sales Manager,export@concretespecial.com.tr,+90 256 540 1460,www.concretespecialists.com.tr,"Istanbul, Turkey",Retarders,Concrete Retarder,2.5,2.25,300,Extended workability control,"ISO 9001, TSE",25,"30% advance, 70% against B/L copy",310 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 310 tons monthly capacity"
35,Building Chemistry Pro,Fatma Yılmaz - Sales Manager,export@buildingchemist.com.tr,+90 266 547 1483,www.buildingchemistrypro.com.tr,"Ankara, Turkey",Pce Superplasticizers,Building PCE,3.65,3.4,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",26,"30% advance, 70% against B/L copy",318 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 318 tons monthly capacity"
35,Building Chemistry Pro,Fatma Yılmaz - Sales Manager,export@buildingchemist.com.tr,+90 266 547 1483,www.buildingchemistrypro.com.tr,"Ankara, Turkey",Accelerators,Building Accelerator,3.14,2.89,300,"Fast setting, strength development","ISO 9001, TSE",26,"30% advance, 70% against B/L copy",318 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 318 tons monthly capacity"
35,Building Chemistry Pro,Fatma Yılmaz - Sales Manager,export@buildingchemist.com.tr,+90 266 547 1483,www.buildingchemistrypro.com.tr,"Ankara, Turkey",Retarders,Building Retarder,2.53,2.28,300,Extended workability control,"ISO 9001, TSE",26,"30% advance, 70% against B/L copy",318 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 318 tons monthly capacity"
36,Concrete Additives Plus,Mehmet Demir - Sales Manager,export@concreteadditiv.com.tr,+90 276 554 1506,www.concreteadditivesplu.com.tr,"Izmir, Turkey",Pce Superplasticizers,Concrete PCE,3.7,3.45,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",27,"30% advance, 70% against B/L copy",326 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 326 tons monthly capacity"
36,Concrete Additives Plus,Mehmet Demir - Sales Manager,export@concreteadditiv.com.tr,+90 276 554 1506,www.concreteadditivesplu.com.tr,"Izmir, Turkey",Accelerators,Concrete Accelerator,3.18,2.93,300,"Fast setting, strength development","ISO 9001, TSE",27,"30% advance, 70% against B/L copy",326 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 326 tons monthly capacity"
36,Concrete Additives Plus,Mehmet Demir - Sales Manager,export@concreteadditiv.com.tr,+90 276 554 1506,www.concreteadditivesplu.com.tr,"Izmir, Turkey",Retarders,Concrete Retarder,2.56,2.31,300,Extended workability control,"ISO 9001, TSE",27,"30% advance, 70% against B/L copy",326 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 326 tons monthly capacity"
37,Modern Construction Chem,Ahmet Kaya - Sales Manager,export@modernconstruct.com.tr,+90 286 561 1529,www.modernconstructionch.com.tr,"Bursa, Turkey",Pce Superplasticizers,Modern PCE,3.75,3.5,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",28,"30% advance, 70% against B/L copy",334 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 334 tons monthly capacity"
37,Modern Construction Chem,Ahmet Kaya - Sales Manager,export@modernconstruct.com.tr,+90 286 561 1529,www.modernconstructionch.com.tr,"Bursa, Turkey",Accelerators,Modern Accelerator,3.22,2.97,300,"Fast setting, strength development","ISO 9001, TSE",28,"30% advance, 70% against B/L copy",334 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 334 tons monthly capacity"
37,Modern Construction Chem,Ahmet Kaya - Sales Manager,export@modernconstruct.com.tr,+90 286 561 1529,www.modernconstructionch.com.tr,"Bursa, Turkey",Retarders,Modern Retarder,2.59,2.34,300,Extended workability control,"ISO 9001, TSE",28,"30% advance, 70% against B/L copy",334 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 334 tons monthly capacity"
38,Superior Building Add,Ali Şahin - Sales Manager,export@superiorbuildin.com.tr,+90 216 568 1552,www.superiorbuildingadd.com.tr,"Kocaeli, Turkey",Pce Superplasticizers,Superior PCE,3.8000000000000003,3.5500000000000003,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",29,"30% advance, 70% against B/L copy",342 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 342 tons monthly capacity"
38,Superior Building Add,Ali Şahin - Sales Manager,export@superiorbuildin.com.tr,+90 216 568 1552,www.superiorbuildingadd.com.tr,"Kocaeli, Turkey",Accelerators,Superior Accelerator,3.2600000000000002,3.0100000000000002,300,"Fast setting, strength development","ISO 9001, TSE",29,"30% advance, 70% against B/L copy",342 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 342 tons monthly capacity"
38,Superior Building Add,Ali Şahin - Sales Manager,export@superiorbuildin.com.tr,+90 216 568 1552,www.superiorbuildingadd.com.tr,"Kocaeli, Turkey",Retarders,Superior Retarder,2.62,2.37,300,Extended workability control,"ISO 9001, TSE",29,"30% advance, 70% against B/L copy",342 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 342 tons monthly capacity"
39,Professional Mix Tech,Veli Özkan - Sales Manager,export@professionalmix.com.tr,+90 226 575 1575,www.professionalmixtech.com.tr,"Sakarya, Turkey",Pce Superplasticizers,Professional PCE,3.85,3.6,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",30,"30% advance, 70% against B/L copy",350 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 350 tons monthly capacity"
39,Professional Mix Tech,Veli Özkan - Sales Manager,export@professionalmix.com.tr,+90 226 575 1575,www.professionalmixtech.com.tr,"Sakarya, Turkey",Accelerators,Professional Accelerator,3.3000000000000003,3.0500000000000003,300,"Fast setting, strength development","ISO 9001, TSE",30,"30% advance, 70% against B/L copy",350 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 350 tons monthly capacity"
39,Professional Mix Tech,Veli Özkan - Sales Manager,export@professionalmix.com.tr,+90 226 575 1575,www.professionalmixtech.com.tr,"Sakarya, Turkey",Retarders,Professional Retarder,2.65,2.4,300,Extended workability control,"ISO 9001, TSE",30,"30% advance, 70% against B/L copy",350 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 350 tons monthly capacity"
40,Concrete Enhancement,Ayşe Yılmaz - Sales Manager,export@concreteenhance.com.tr,+90 236 582 1598,www.concreteenhancement.com.tr,"Eskişehir, Turkey",Pce Superplasticizers,Concrete PCE,3.9000000000000004,3.6500000000000004,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",31,"30% advance, 70% against B/L copy",358 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 358 tons monthly capacity"
40,Concrete Enhancement,Ayşe Yılmaz - Sales Manager,export@concreteenhance.com.tr,+90 236 582 1598,www.concreteenhancement.com.tr,"Eskişehir, Turkey",Accelerators,Concrete Accelerator,3.34,3.09,300,"Fast setting, strength development","ISO 9001, TSE",31,"30% advance, 70% against B/L copy",358 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 358 tons monthly capacity"
40,Concrete Enhancement,Ayşe Yılmaz - Sales Manager,export@concreteenhance.com.tr,+90 236 582 1598,www.concreteenhancement.com.tr,"Eskişehir, Turkey",Retarders,Concrete Retarder,2.68,2.43,300,Extended workability control,"ISO 9001, TSE",31,"30% advance, 70% against B/L copy",358 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 358 tons monthly capacity"
41,Advanced Mix Solutions,Fatma Demir - Sales Manager,export@advancedmixsolu.com.tr,+90 246 589 1621,www.advancedmixsolutions.com.tr,"Konya, Turkey",Pce Superplasticizers,Advanced PCE,3.95,3.7,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",32,"30% advance, 70% against B/L copy",366 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 366 tons monthly capacity"
41,Advanced Mix Solutions,Fatma Demir - Sales Manager,export@advancedmixsolu.com.tr,+90 246 589 1621,www.advancedmixsolutions.com.tr,"Konya, Turkey",Accelerators,Advanced Accelerator,3.38,3.13,300,"Fast setting, strength development","ISO 9001, TSE",32,"30% advance, 70% against B/L copy",366 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 366 tons monthly capacity"
41,Advanced Mix Solutions,Fatma Demir - Sales Manager,export@advancedmixsolu.com.tr,+90 246 589 1621,www.advancedmixsolutions.com.tr,"Konya, Turkey",Retarders,Advanced Retarder,2.71,2.46,300,Extended workability control,"ISO 9001, TSE",32,"30% advance, 70% against B/L copy",366 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 366 tons monthly capacity"
42,Premium Building Chem,Mehmet Kaya - Sales Manager,export@premiumbuilding.com.tr,+90 256 596 1644,www.premiumbuildingchem.com.tr,"Adana, Turkey",Pce Superplasticizers,Premium PCE,4.0,3.75,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",33,"30% advance, 70% against B/L copy",374 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 374 tons monthly capacity"
42,Premium Building Chem,Mehmet Kaya - Sales Manager,export@premiumbuilding.com.tr,+90 256 596 1644,www.premiumbuildingchem.com.tr,"Adana, Turkey",Accelerators,Premium Accelerator,3.42,3.17,300,"Fast setting, strength development","ISO 9001, TSE",33,"30% advance, 70% against B/L copy",374 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 374 tons monthly capacity"
42,Premium Building Chem,Mehmet Kaya - Sales Manager,export@premiumbuilding.com.tr,+90 256 596 1644,www.premiumbuildingchem.com.tr,"Adana, Turkey",Retarders,Premium Retarder,2.74,2.49,300,Extended workability control,"ISO 9001, TSE",33,"30% advance, 70% against B/L copy",374 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 374 tons monthly capacity"
43,Concrete Technology Pro,Ahmet Şahin - Sales Manager,export@concretetechnol.com.tr,+90 266 603 1667,www.concretetechnologypr.com.tr,"Gaziantep, Turkey",Pce Superplasticizers,Concrete PCE,4.05,3.8,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",34,"30% advance, 70% against B/L copy",382 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 382 tons monthly capacity"
43,Concrete Technology Pro,Ahmet Şahin - Sales Manager,export@concretetechnol.com.tr,+90 266 603 1667,www.concretetechnologypr.com.tr,"Gaziantep, Turkey",Accelerators,Concrete Accelerator,3.46,3.21,300,"Fast setting, strength development","ISO 9001, TSE",34,"30% advance, 70% against B/L copy",382 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 382 tons monthly capacity"
43,Concrete Technology Pro,Ahmet Şahin - Sales Manager,export@concretetechnol.com.tr,+90 266 603 1667,www.concretetechnologypr.com.tr,"Gaziantep, Turkey",Retarders,Concrete Retarder,2.77,2.52,300,Extended workability control,"ISO 9001, TSE",34,"30% advance, 70% against B/L copy",382 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 382 tons monthly capacity"
44,Master Building Add,Ali Özkan - Sales Manager,export@masterbuildinga.com.tr,+90 276 610 1690,www.masterbuildingadd.com.tr,"Istanbul, Turkey",Pce Superplasticizers,Master PCE,4.1,3.8499999999999996,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",20,"30% advance, 70% against B/L copy",390 tons,Hayır,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 390 tons monthly capacity"
